empty,name,showed_name,episode,episode_title,album,track,title,time,timing,scene,theme,other
,Mando1,Season 1,1,Chapter 1: The Mandalorian,1,1,Hey Mando! ,　,0:01:09,マルド・クレイスの酒場で格闘するディン,ディン･ジャリン,
,Mando1,Season 1,1,Chapter 1: The Mandalorian,1,,　,　,0:03:46,クバーズがランドスピーダーを呼ぶ合図1,,
,Mando1,Season 1,1,Chapter 1: The Mandalorian,1,,　,　,0:04:11,クバーズがランドスピーダーを呼ぶ合図2,,
,Mando1,Season 1,1,Chapter 1: The Mandalorian,1,,　,　,0:05:50,＜レイザークレスト＞に襲いかかるラヴィナック,,
,Mando1,Season 1,1,Chapter 1: The Mandalorian,1,,　,　,0:08:38,炭素冷凍されるミスロル,ディン･ジャリン,
,Mando1,Season 1,1,Chapter 1: The Mandalorian,1,,　,　,0:10:39,ネヴァロの酒場で流れているBGM,,
,Mando1,Season 1,1,Chapter 1: The Mandalorian,1,2,Face to Face,　,0:12:37,”クライアント”と対面するディン,"デンジャリン
クライアント",曲間無し(A)
,Mando1,Season 1,1,Chapter 1: The Mandalorian,1,3,Back for Beskar,　,0:17:42,マンダロリアンの地下の隠れ家へ向かうディン,マンダロリアン,曲間無し(B)
,Mando1,Season 1,1,Chapter 1: The Mandalorian,1,4,HammerTime,　,0:20:04,ベスカー製ポールドロンを製造する”アーマラー”,"ディン･ジャリン\n
マンダロアの教義",曲間無し(C)
,Mando1,Season 1,1,Chapter 1: The Mandalorian,1,5,Blurg Attack,　,0:22:54,プラーグに襲われるディン,"クイール\n
ディン･ジャリン",
,Mando1,Season 1,1,Chapter 1: The Mandalorian,1,6,You Are a Mandalorian,　,0:24:54,プラーグに乗る練習をするディン,"ディン･ジャリン\n
クイール",
,Mando1,Season 1,1,Chapter 1: The Mandalorian,1,7,Bounty Droid,　,0:30:46,IG-11と共闘するディン,,
,Mando1,Season 1,1,Chapter 1: The Mandalorian,1,8,The Asset,　,0:34:45,”チャイルド”を発見するディンら,"チャイルド\n
ディン･ジャリン",
,Mando1,Season 1,1,Chapter 1: The Mandalorian,1,9,The Mandalorian,0:46~,0:36:09,エンド・クレジット,ディン･ジャリン,
,Mando1,Season 1,2,Chapter 2: The Child,2,,　,　,0:00:00,あらすじ,ディン･ジャリン,"以下に近い曲を含む\n
1-2「Face to Face」(3:22~3:29)\n
2-3「Trashed Crest」(1:34~1:43)"
,Mando1,Season 1,2,Chapter 2: The Child,2,,　,　,0:01:03,ロゴ,,
